320: 17.873938, 17.338041 avg, 0.000010 rate, 13.322506 seconds, 20480 images
321: 16.806456, 17.284883 avg, 0.000011 rate, 12.845147 seconds, 20544 images
322: 17.398546, 17.296249 avg, 0.000011 rate, 13.316513 seconds, 20608 images
323: 17.915344, 17.358158 avg, 0.000011 rate, 13.371700 seconds, 20672 images
324: 17.612673, 17.383610 avg, 0.000011 rate, 13.338847 seconds, 20736 images
325: 16.807991, 17.326048 avg, 0.000011 rate, 13.337408 seconds, 20800 images
326: 18.870129, 17.480455 avg, 0.000011 rate, 13.441199 seconds, 20864 images
327: 18.245710, 17.556980 avg, 0.000011 rate, 13.309239 seconds, 20928 images
328: 17.973692, 17.598652 avg, 0.000012 rate, 13.431729 seconds, 20992 images
329: 17.772543, 17.616041 avg, 0.000012 rate, 13.442415 seconds, 21056 images
330: 18.205782, 17.675014 avg, 0.000012 rate, 13.360086 seconds, 21120 images
331: 12.287533, 17.136267 avg, 0.000012 rate, 6.462471 seconds, 21184 images
332: 14.592098, 16.881849 avg, 0.000012 rate, 6.730500 seconds, 21248 images
333: 13.145354, 16.508200 avg, 0.000012 rate, 6.729694 seconds, 21312 images
